SRC_middle Query: Medium,Depth,# Hops,BBoxes,Data Size
"[19, 20, 25, 26]",2,2,"[16, 16, 32, 32]",256
"[15, 22, 21, 28]",2,2,"[8, 16, 24, 32]",256
"[20, 14, 26, 20]",4,4,"[20, 12, 28, 20]",64
"[20, 13, 26, 19]",4,4,"[20, 12, 28, 20]",64
"[11, 17, 17, 23]",2,2,"[8, 8, 24, 24]",256
"[5, 6, 11, 12]",4,4,"[4, 4, 12, 12]",64
"[12, 18, 18, 24]",4,4,"[12, 16, 20, 24]",64
"[9, 0, 15, 6]",4,4,"[8, 0, 16, 8]",64
"[4, 4, 10, 10]",4,4,"[4, 4, 12, 12]",64
"[8, 10, 14, 16]",4,4,"[8, 8, 16, 16]",64
"[10, 25, 16, 31]",4,4,"[8, 24, 16, 32]",64
"[11, 22, 17, 28]",2,2,"[8, 16, 24, 32]",256
"[2, 10, 8, 16]",4,4,"[0, 8, 8, 16]",64
"[24, 19, 30, 25]",3,3,"[24, 16, 32, 32]",128
"[1, 1, 7, 7]",4,4,"[0, 0, 8, 8]",64
"[8, 5, 14, 11]",4,4,"[8, 4, 16, 12]",64
"[4, 18, 10, 24]",4,4,"[4, 16, 12, 24]",64
"[9, 11, 15, 17]",3,3,"[8, 8, 16, 24]",128
"[12, 17, 18, 23]",4,4,"[12, 16, 20, 24]",64
"[4, 9, 10, 15]",4,4,"[4, 8, 12, 16]",64
"[3, 15, 9, 21]",2,2,"[0, 8, 16, 24]",256
"[23, 7, 29, 13]",2,2,"[16, 0, 32, 16]",256
"[1, 9, 7, 15]",4,4,"[0, 8, 8, 16]",64
"[5, 16, 11, 22]",4,4,"[4, 16, 12, 24]",64
"[23, 2, 29, 8]",2,2,"[16, 0, 32, 16]",256
"[9, 12, 15, 18]",4,4,"[8, 12, 16, 20]",64
"[26, 10, 32, 16]",4,4,"[24, 8, 32, 16]",64
"[9, 13, 15, 19]",4,4,"[8, 12, 16, 20]",64
"[3, 3, 9, 9]",2,2,"[0, 0, 16, 16]",256
"[17, 15, 23, 21]",3,3,"[16, 8, 24, 24]",128
"[15, 10, 21, 16]",2,2,"[8, 8, 24, 24]",256
"[26, 25, 32, 31]",4,4,"[24, 24, 32, 32]",64
"[25, 10, 31, 16]",4,4,"[24, 8, 32, 16]",64
"[3, 15, 9, 21]",2,2,"[0, 8, 16, 24]",256
"[3, 22, 9, 28]",2,2,"[0, 16, 16, 32]",256
"[15, 13, 21, 19]",2,2,"[8, 8, 24, 24]",256
"[1, 9, 7, 15]",4,4,"[0, 8, 8, 16]",64
"[10, 23, 16, 29]",3,3,"[8, 16, 16, 32]",128
"[21, 4, 27, 10]",4,4,"[20, 4, 28, 12]",64
"[5, 20, 11, 26]",4,4,"[4, 20, 12, 28]",64
"[18, 12, 24, 18]",4,4,"[16, 12, 24, 20]",64
"[25, 20, 31, 26]",4,4,"[24, 20, 32, 28]",64
"[2, 2, 8, 8]",4,4,"[0, 0, 8, 8]",64
"[25, 2, 31, 8]",4,4,"[24, 0, 32, 8]",64
"[6, 23, 12, 29]",3,3,"[4, 16, 12, 32]",128
"[7, 1, 13, 7]",2,2,"[0, 0, 16, 16]",256
"[12, 0, 18, 6]",4,4,"[12, 0, 20, 8]",64
"[3, 12, 9, 18]",2,2,"[0, 8, 16, 24]",256
"[17, 16, 23, 22]",4,4,"[16, 16, 24, 24]",64
"[9, 14, 15, 20]",4,4,"[8, 12, 16, 20]",64
"[15, 25, 21, 31]",2,2,"[8, 16, 24, 32]",256
"[18, 22, 24, 28]",4,4,"[16, 20, 24, 28]",64
"[21, 6, 27, 12]",4,4,"[20, 4, 28, 12]",64
"[13, 2, 19, 8]",4,4,"[12, 0, 20, 8]",64
"[11, 7, 17, 13]",2,2,"[8, 0, 24, 16]",256
