SRC_exhaustive Query: Small,Depth,BBoxes,Data Size
"[7, 12, 8, 13]",6,"[7, 11, 9, 13]",4
"[12, 10, 13, 11]",6,"[11, 8, 13, 10]",4
"[7, 8, 8, 9]",6,"[7, 7, 9, 9]",4
"[2, 1, 3, 2]",0,"[0, 0, 16, 16]",256
"[4, 10, 5, 11]",2,"[4, 4, 12, 12]",64
"[15, 2, 16, 3]",1,"[8, 0, 16, 16]",128
"[15, 13, 16, 14]",6,"[8, 0, 10, 2]",4
"[10, 12, 11, 13]",6,"[9, 10, 11, 12]",4
"[0, 3, 1, 4]",0,"[0, 0, 16, 16]",256
"[13, 4, 14, 5]",3,"[10, 4, 14, 12]",32
"[4, 0, 5, 1]",1,"[4, 0, 12, 16]",128
"[3, 13, 4, 14]",0,"[0, 0, 16, 16]",256
"[7, 1, 8, 2]",1,"[4, 0, 12, 16]",128
"[8, 8, 9, 9]",6,"[7, 6, 9, 8]",4
"[12, 3, 13, 4]",1,"[8, 0, 16, 16]",128
"[11, 9, 12, 10]",6,"[4, 0, 6, 2]",4
"[11, 6, 12, 7]",5,"[10, 6, 12, 10]",8
"[1, 10, 2, 11]",0,"[0, 0, 16, 16]",256
"[0, 5, 1, 6]",0,"[0, 0, 16, 16]",256
"[15, 0, 16, 1]",1,"[8, 0, 16, 16]",128
"[8, 10, 9, 11]",6,"[7, 8, 9, 10]",4
"[4, 11, 5, 12]",2,"[4, 4, 12, 12]",64
"[3, 13, 4, 14]",0,"[0, 0, 16, 16]",256
"[2, 8, 3, 9]",0,"[0, 0, 16, 16]",256
"[3, 2, 4, 3]",0,"[0, 0, 16, 16]",256
"[4, 15, 5, 16]",2,"[4, 8, 12, 16]",64
"[1, 7, 2, 8]",0,"[0, 0, 16, 16]",256
"[11, 3, 12, 4]",1,"[4, 0, 12, 16]",128
"[6, 5, 7, 6]",3,"[6, 4, 10, 12]",32
"[7, 12, 8, 13]",6,"[7, 11, 9, 13]",4
"[6, 14, 7, 15]",4,"[6, 12, 10, 16]",16
"[11, 5, 12, 6]",3,"[8, 4, 12, 12]",32
"[8, 11, 9, 12]",6,"[4, 4, 6, 6]",4
"[6, 6, 7, 7]",4,"[6, 6, 10, 10]",16
"[14, 10, 15, 11]",6,"[13, 8, 15, 10]",4
"[4, 8, 5, 9]",2,"[4, 4, 12, 12]",64
"[0, 2, 1, 3]",0,"[0, 0, 16, 16]",256
"[10, 9, 11, 10]",6,"[8, 6, 10, 8]",4
"[10, 1, 11, 2]",1,"[4, 0, 12, 16]",128
"[2, 0, 3, 1]",0,"[0, 0, 16, 16]",256
"[9, 3, 10, 4]",1,"[4, 0, 12, 16]",128
"[5, 8, 6, 9]",2,"[4, 4, 12, 12]",64
"[6, 11, 7, 12]",4,"[6, 8, 10, 12]",16
"[14, 2, 15, 3]",1,"[8, 0, 16, 16]",128
"[13, 13, 14, 14]",6,"[10, 8, 12, 10]",4
"[3, 2, 4, 3]",0,"[0, 0, 16, 16]",256
"[14, 10, 15, 11]",6,"[13, 8, 15, 10]",4
"[5, 9, 6, 10]",2,"[4, 4, 12, 12]",64
"[7, 13, 8, 14]",6,"[6, 10, 8, 12]",4
"[9, 1, 10, 2]",1,"[4, 0, 12, 16]",128
"[0, 0, 1, 1]",0,"[0, 0, 16, 16]",256
"[8, 2, 9, 3]",1,"[4, 0, 12, 16]",128
"[10, 10, 11, 11]",6,"[9, 8, 11, 10]",4
"[9, 1, 10, 2]",1,"[4, 0, 12, 16]",128
"[7, 4, 8, 5]",3,"[6, 4, 10, 12]",32
"[8, 1, 9, 2]",1,"[4, 0, 12, 16]",128
"[12, 13, 13, 14]",6,"[10, 10, 12, 12]",4
"[8, 7, 9, 8]",6,"[7, 6, 9, 8]",4
"[8, 10, 9, 11]",6,"[7, 8, 9, 10]",4
"[15, 14, 16, 15]",6,"[8, 0, 10, 2]",4
"[3, 13, 4, 14]",0,"[0, 0, 16, 16]",256
"[11, 5, 12, 6]",3,"[8, 4, 12, 12]",32
"[1, 7, 2, 8]",0,"[0, 0, 16, 16]",256
"[15, 12, 16, 13]",6,"[8, 0, 10, 2]",4
"[0, 7, 1, 8]",0,"[0, 0, 16, 16]",256
"[2, 9, 3, 10]",0,"[0, 0, 16, 16]",256
"[3, 5, 4, 6]",0,"[0, 0, 16, 16]",256
"[4, 14, 5, 15]",2,"[4, 8, 12, 16]",64
"[0, 11, 1, 12]",0,"[0, 0, 16, 16]",256
"[13, 3, 14, 4]",1,"[8, 0, 16, 16]",128
"[7, 15, 8, 16]",6,"[0, 0, 2, 2]",4
"[9, 8, 10, 9]",6,"[6, 4, 8, 6]",4
"[12, 13, 13, 14]",6,"[10, 10, 12, 12]",4
"[15, 1, 16, 2]",1,"[8, 0, 16, 16]",128
"[5, 11, 6, 12]",2,"[4, 4, 12, 12]",64
"[6, 7, 7, 8]",4,"[6, 6, 10, 10]",16
"[4, 7, 5, 8]",2,"[4, 4, 12, 12]",64
"[9, 4, 10, 5]",3,"[6, 4, 10, 12]",32
"[5, 8, 6, 9]",2,"[4, 4, 12, 12]",64
"[0, 5, 1, 6]",0,"[0, 0, 16, 16]",256
"[7, 13, 8, 14]",6,"[6, 10, 8, 12]",4
"[5, 7, 6, 8]",2,"[4, 4, 12, 12]",64
"[4, 5, 5, 6]",2,"[4, 4, 12, 12]",64
"[7, 9, 8, 10]",6,"[6, 6, 8, 8]",4
"[0, 14, 1, 15]",0,"[0, 0, 16, 16]",256
"[6, 1, 7, 2]",1,"[4, 0, 12, 16]",128
"[13, 5, 14, 6]",3,"[10, 4, 14, 12]",32
"[12, 12, 13, 13]",6,"[11, 10, 13, 12]",4
"[6, 12, 7, 13]",4,"[6, 10, 10, 14]",16
"[15, 3, 16, 4]",1,"[8, 0, 16, 16]",128
"[4, 2, 5, 3]",1,"[4, 0, 12, 16]",128
"[0, 2, 1, 3]",0,"[0, 0, 16, 16]",256
"[0, 7, 1, 8]",0,"[0, 0, 16, 16]",256
"[12, 14, 13, 15]",6,"[11, 12, 13, 14]",4
"[8, 13, 9, 14]",6,"[6, 10, 8, 12]",4
"[11, 12, 12, 13]",6,"[4, 0, 6, 2]",4
"[8, 2, 9, 3]",1,"[4, 0, 12, 16]",128
"[5, 7, 6, 8]",2,"[4, 4, 12, 12]",64
"[6, 1, 7, 2]",1,"[4, 0, 12, 16]",128
"[1, 2, 2, 3]",0,"[0, 0, 16, 16]",256
"[14, 7, 15, 8]",6,"[13, 6, 15, 8]",4
"[14, 4, 15, 5]",3,"[12, 4, 16, 12]",32
"[9, 0, 10, 1]",1,"[4, 0, 12, 16]",128
"[4, 11, 5, 12]",2,"[4, 4, 12, 12]",64
"[11, 11, 12, 12]",6,"[4, 0, 6, 2]",4
"[9, 8, 10, 9]",6,"[6, 4, 8, 6]",4
"[4, 0, 5, 1]",1,"[4, 0, 12, 16]",128
"[15, 6, 16, 7]",5,"[14, 6, 16, 10]",8
"[12, 10, 13, 11]",6,"[11, 8, 13, 10]",4
"[15, 9, 16, 10]",6,"[8, 0, 10, 2]",4
"[14, 4, 15, 5]",3,"[12, 4, 16, 12]",32
"[15, 9, 16, 10]",6,"[8, 0, 10, 2]",4
"[10, 11, 11, 12]",6,"[4, 4, 6, 6]",4
"[12, 12, 13, 13]",6,"[11, 10, 13, 12]",4
"[12, 9, 13, 10]",6,"[10, 6, 12, 8]",4
"[7, 6, 8, 7]",5,"[7, 6, 9, 10]",8
"[13, 6, 14, 7]",5,"[12, 6, 14, 10]",8
"[8, 5, 9, 6]",3,"[6, 4, 10, 12]",32
"[4, 15, 5, 16]",2,"[4, 8, 12, 16]",64
"[10, 8, 11, 9]",6,"[9, 6, 11, 8]",4
"[13, 9, 14, 10]",6,"[10, 4, 12, 6]",4
"[14, 1, 15, 2]",1,"[8, 0, 16, 16]",128
"[6, 8, 7, 9]",4,"[6, 6, 10, 10]",16
"[14, 2, 15, 3]",1,"[8, 0, 16, 16]",128
"[0, 6, 1, 7]",0,"[0, 0, 16, 16]",256
"[3, 8, 4, 9]",0,"[0, 0, 16, 16]",256
"[0, 6, 1, 7]",0,"[0, 0, 16, 16]",256
"[5, 5, 6, 6]",2,"[4, 4, 12, 12]",64
"[11, 8, 12, 9]",6,"[4, 0, 6, 2]",4
