SRC_random Query: Small,Depth,BBoxes,Data Size
"[4, 4, 5, 5]",6,"[4, 4, 6, 6]",4
"[8, 6, 9, 7]",6,"[8, 6, 10, 8]",4
"[4, 4, 5, 5]",6,"[4, 3, 6, 5]",4
"[10, 2, 11, 3]",6,"[10, 2, 12, 4]",4
"[15, 15, 16, 16]",6,"[14, 14, 16, 16]",4
"[15, 13, 16, 14]",6,"[14, 12, 16, 14]",4
"[2, 4, 3, 5]",6,"[2, 4, 4, 6]",4
"[9, 11, 10, 12]",6,"[9, 10, 11, 12]",4
"[1, 12, 2, 13]",6,"[0, 12, 2, 14]",4
"[3, 11, 4, 12]",6,"[2, 10, 4, 12]",4
"[1, 11, 2, 12]",6,"[1, 11, 3, 13]",4
"[0, 7, 1, 8]",6,"[0, 6, 2, 8]",4
"[12, 9, 13, 10]",6,"[11, 9, 13, 11]",4
"[10, 10, 11, 11]",6,"[10, 10, 12, 12]",4
"[12, 9, 13, 10]",6,"[12, 8, 14, 10]",4
"[7, 10, 8, 11]",6,"[6, 9, 8, 11]",4
"[3, 14, 4, 15]",6,"[2, 13, 4, 15]",4
"[15, 6, 16, 7]",6,"[14, 6, 16, 8]",4
"[10, 0, 11, 1]",6,"[10, 0, 12, 2]",4
"[8, 9, 9, 10]",6,"[8, 8, 10, 10]",4
"[1, 10, 2, 11]",6,"[1, 10, 3, 12]",4
"[11, 7, 12, 8]",6,"[10, 6, 12, 8]",4
"[7, 0, 8, 1]",6,"[6, 0, 8, 2]",4
"[6, 8, 7, 9]",6,"[5, 7, 7, 9]",4
"[7, 8, 8, 9]",6,"[6, 8, 8, 10]",4
"[4, 13, 5, 14]",6,"[4, 12, 6, 14]",4
"[8, 2, 9, 3]",6,"[8, 1, 10, 3]",4
"[13, 4, 14, 5]",6,"[12, 4, 14, 6]",4
"[14, 10, 15, 11]",6,"[13, 10, 15, 12]",4
"[15, 8, 16, 9]",6,"[14, 8, 16, 10]",4
"[5, 12, 6, 13]",6,"[4, 12, 6, 14]",4
"[8, 6, 9, 7]",6,"[8, 6, 10, 8]",4
"[1, 11, 2, 12]",6,"[0, 10, 2, 12]",4
"[14, 13, 15, 14]",6,"[13, 12, 15, 14]",4
"[12, 3, 13, 4]",6,"[11, 2, 13, 4]",4
"[3, 12, 4, 13]",6,"[2, 12, 4, 14]",4
"[2, 6, 3, 7]",6,"[2, 6, 4, 8]",4
