,Laenge,Breite
5734,13.42361111,52.51416667
5738,13.43277778,52.51222222
5881,13.35,52.54305556
5882,13.32666667,52.54055556
5885,13.30055556,52.53694444
5917,6.7375,51.30138889
5918,6.762777778,51.27666667
5920,6.764444444,51.27888889
5921,6.764722222,51.27777778
5923,6.765,51.27666667
5927,6.775277778,51.27916667
5929,6.793333333,51.26916667
5930,6.799166667,51.2575
5933,6.781944444,51.215
5934,6.782222222,51.21527778
6002,6.801388889,51.24333333
6005,6.791111111,51.27388889
6006,6.784722222,51.28083333
6007,6.785833333,51.29138889
6010,6.775833333,51.365
6011,6.7725,51.39527778
6012,6.778888889,51.41694444
6014,6.903055556,51.44388889
6016,7.012222222,51.45194444
6018,7.037222222,51.45277778
6019,7.147777778,51.47166667
6022,7.220833333,51.47888889
6023,7.233611111,51.47861111
6024,7.263611111,51.48638889
6025,7.2825,51.48083333
6027,7.298055556,51.4775
6028,7.393611111,51.50833333
6030,7.419722222,51.51305556
6031,7.443611111,51.5125
6033,7.475833333,51.51916667
6035,7.608055556,51.57416667
6036,7.637777778,51.59222222
6037,7.665,51.58861111
6039,7.792222222,51.66
6041,7.798055556,51.67083333
6055,8.383055556,51.90666667
6056,8.423333333,51.9125
6063,8.631944444,52.07805556
6064,8.655555556,52.10944444
6067,8.676666667,52.19055556
6072,8.921944444,52.24138889
6076,8.964722222,52.29611111
6083,9.379166667,52.33694444
6084,9.388611111,52.37777778
6086,9.455833333,52.42694444
6090,9.822777778,52.37916667
6092,9.868888889,52.37527778
6093,9.966111111,52.36555556
6099,10.125,52.36138889
6102,10.76527778,52.42083333
6120,13.35805556,52.53583333
6171,13.37611111,52.51861111
6272,13.37888889,52.51833333
6385,13.24416667,52.51055556
6393,12.35611111,52.60833333
6401,10.75305556,52.42083333
6407,9.738888889,52.38083333
6409,9.675277778,52.39583333
6414,9.505833333,52.40861111
6426,8.890833333,52.27583333
6429,8.821111111,52.22194444
6434,8.674444444,52.17888889
6439,8.586944444,52.06583333
6442,8.552222222,52.05166667
6447,8.434722222,51.94055556
6453,7.767222222,51.64444444
6454,7.747777778,51.61722222
6457,7.668055556,51.58888889
6458,7.661111111,51.58194444
6460,7.488611111,51.52027778
6461,7.434722222,51.51194444
6465,7.248611111,51.48305556
6471,7.206666667,51.46555556
6472,7.18,51.46527778
6474,7.128888889,51.47305556
6475,7.108055556,51.47611111
6476,7.088888889,51.45722222
6477,7.022222222,51.45416667
6478,6.979444444,51.45305556
6479,6.865833333,51.445
6481,6.843611111,51.44583333
6482,6.7775,51.4275
6487,6.789166667,51.24694444
6490,6.768611111,51.21944444
6496,6.747222222,51.22944444
6516,6.792222222,51.21972222
6522,6.776388889,51.40638889
6525,6.778888889,51.425
6526,6.810833333,51.44638889
6528,6.895,51.42638889
6530,7.0,51.44916667
6542,7.11,51.45583333
6546,7.381666667,51.50805556
6547,7.460833333,51.51944444
6548,7.525833333,51.56666667
6550,7.534722222,51.57916667
6551,7.536666667,51.5875
6554,7.529722222,51.60138889
6556,7.571944444,51.64583333
6557,7.616111111,51.66361111
6558,7.608888889,51.88916667
6565,7.645277778,51.96166667
6568,7.644444444,51.96166667
6696,7.632222222,51.95611111
6872,7.625555556,51.96222222
6873,7.628333333,51.95972222
6950,7.614722222,51.9475
6951,7.610277778,51.94111111
6952,7.558055556,51.92305556
6954,7.42,51.90388889
6955,7.371388889,51.89277778
6956,7.266944444,51.84388889
6959,7.281944444,51.82805556
7014,7.173611111,51.76861111
7015,7.104166667,51.67305556
7016,7.044166667,51.65555556
7017,7.041111111,51.59916667
7018,7.03,51.57583333
7020,7.049722222,51.57527778
7022,7.046944444,51.56027778
7023,7.066944444,51.56083333
7025,7.066666667,51.55472222
7026,7.065833333,51.55416667
7027,7.067777778,51.55555556
7029,7.0675,51.55361111
7040,7.036666667,51.5875
7042,7.036944444,51.62361111
7043,7.050277778,51.58222222
7045,7.197222222,51.81083333
7046,7.522777778,51.91027778
7047,7.586666667,51.92722222
7292,7.625277778,51.94805556
7310,7.628611111,51.95527778
7418,8.523333333,52.02333333
7428,8.911111111,52.28111111
7432,9.033055556,52.26138889
7438,9.647222222,52.37861111
7443,9.775833333,52.37055556
7450,10.58555556,52.43055556
7653,13.36388889,52.50777778
7671,13.37388889,52.51027778
7672,13.36833333,52.525
7844,13.37444444,52.52027778
8546,10.77444444,52.41416667
8579,7.590833333,51.55777778
8581,7.563333333,51.54888889
8615,7.6925,51.6025
8628,8.134166667,51.82638889
8630,8.424444444,51.93666667
8653,9.063055556,52.30055556
8668,9.445555556,52.42611111
8670,9.563611111,52.40055556
8671,9.658333333,52.38611111
8673,9.683611111,52.40611111
8679,9.733055556,52.37805556
8695,9.764722222,52.37111111
8698,9.842777778,52.38805556
8700,9.875,52.35666667
8706,10.44194444,52.45527778
8715,10.73916667,52.40611111
8731,11.40805556,52.53833333
8735,11.85,52.59277778
8738,11.86055556,52.59805556
8741,12.3025,52.6025
8930,13.40222222,52.53861111
8934,13.39444444,52.55027778
9531,13.38388889,52.51694444
9748,13.375,52.50833333
9755,13.37555556,52.50972222
9820,13.21833333,52.53777778
9832,10.61277778,52.41444444
9838,9.965555556,52.38722222
9842,9.815277778,52.35861111
9843,9.780555556,52.33472222
9844,9.839166667,52.27277778
9845,9.869722222,52.24555556
9846,9.980833333,51.72138889
9848,9.476666667,51.22833333
9849,9.480555556,51.22361111
9850,9.583333333,50.90416667
9852,9.679722222,50.51777778
9855,9.3275,50.26555556
9856,9.293055556,50.25222222
9858,9.179166667,50.18611111
9859,9.151666667,50.185
9860,9.122777778,50.18333333
9862,9.049444444,50.16055556
9864,9.023055556,50.14638889
9865,8.93,50.12277778
9870,8.847222222,50.11888889
9872,8.737777778,50.10055556
9873,8.649166667,50.1025
9875,8.650555556,50.10555556
9876,8.661666667,50.10638889
9878,8.661944444,50.10694444
9881,8.641666667,50.11194444
9882,8.646111111,50.11111111
9884,8.644722222,50.11472222
9886,8.645277778,50.11111111
9910,8.658611111,50.09472222
9912,8.6525,50.075
9914,8.641944444,50.06972222
9915,8.618333333,50.05638889
9916,8.572777778,50.05194444
9918,8.53,50.03722222
9921,8.478611111,50.02583333
9922,8.466944444,50.03916667
9923,8.421944444,50.03916667
9928,8.380833333,50.06777778
9930,7.845555556,50.44277778
9931,7.186666667,50.79916667
9932,7.167777778,50.80888889
9933,7.101666667,50.85416667
9934,7.043333333,50.86777778
9935,7.035,50.90138889
9936,7.021944444,50.91333333
9937,7.011388889,50.93138889
9942,6.9725,50.93888889
9972,7.051388889,51.22666667
9988,7.621388889,51.50388889
9989,7.650277778,51.5125
10005,7.877222222,51.73916667
10009,8.009444444,51.78638889
10010,8.145,51.82861111
10027,8.545555556,52.02
10040,8.536111111,52.02166667
10103,9.6525,52.39444444
10105,9.788611111,52.32833333
10106,9.821388889,52.28277778
10109,9.859444444,52.23583333
10110,9.793888889,52.21722222
10112,9.911388889,51.52361111
10113,9.971944444,51.51111111
10115,9.960555556,51.46388889
10116,10.22805556,51.39694444
10118,10.32166667,51.38305556
10127,10.36111111,51.39333333
10130,10.31555556,51.31583333
10131,10.47472222,51.20555556
10133,10.48472222,51.21472222
10134,10.73194444,50.96861111
10136,10.72527778,50.95111111
10137,10.93666667,50.91222222
10140,10.98944444,50.95944444
10142,11.07166667,50.97527778
10143,11.08972222,50.97583333
10144,11.14111111,50.99472222
10145,11.27444444,50.98611111
10147,11.32888889,50.98472222
10418,11.32361111,50.97527778
10436,11.31444444,50.97416667
10591,11.32,50.995
10593,11.33722222,50.99555556
10594,11.71055556,51.14055556
10598,12.34888889,51.36555556
10601,12.37444444,51.36333333
10602,12.37638889,51.35833333
10604,12.37722222,51.35222222
10605,12.39111111,51.35527778
10608,12.40194444,51.37277778
10612,12.36972222,51.44361111
10615,12.31,51.62444444
10616,12.88055556,51.9575
11226,13.38527778,52.51722222
11450,13.38472222,52.55111111
11453,13.39361111,52.55694444
11454,13.42805556,52.58055556
11455,13.38583333,52.64694444
11457,13.28805556,52.68833333
11460,13.27666667,52.715
11462,13.26777778,52.73888889
11463,13.25138889,52.76027778
11464,13.24666667,52.75472222
11471,13.13694444,53.17916667
11474,13.10694444,53.27777778
11477,13.07722222,53.35166667
11479,13.09527778,53.35555556
11480,12.71805556,53.525
11481,12.22444444,53.80222222
11483,12.17361111,53.80138889
11489,12.13888889,54.07472222
11494,12.13277778,54.07944444
11498,12.13027778,54.09
11504,12.13361111,54.085
11512,12.09972222,54.08916667
11513,12.07194444,54.135
11519,12.07944444,54.14666667
11550,12.05972222,54.13861111
11552,12.05138889,54.1375
11565,12.05944444,54.11833333
11566,12.07722222,54.09944444
11568,12.10638889,54.09416667
11587,12.14,54.09027778
11601,12.15777778,54.0975
11709,12.08833333,54.10638889
12169,12.12555556,54.08472222
12172,12.12277778,54.09027778
12504,12.07472222,54.12027778
12507,12.07583333,54.08666667
12510,12.10277778,54.07611111
12511,12.11861111,54.07166667
12516,12.42472222,53.685
12518,12.67972222,53.52138889
12519,12.69083333,53.51027778
12520,12.93666667,53.42944444
12529,13.06916667,53.34083333
12535,13.17916667,53.07222222
12538,13.15333333,52.99861111
12543,13.24777778,52.76972222
12549,13.4525,52.61444444
12551,13.44083333,52.59361111
12552,13.42277778,52.57388889
12553,13.40611111,52.56555556
12737,6.748888889,51.30027778
12749,6.766111111,51.28027778
12755,6.795833333,51.28111111
12758,6.796111111,51.22611111
12761,6.79,51.22055556
12764,6.789722222,51.2175
12887,6.776666667,51.21638889
12894,6.794166667,51.23583333
12901,6.7725,51.43277778
12902,6.799722222,51.44583333
12906,7.035277778,51.45972222
12907,7.054444444,51.44666667
12912,7.161388889,51.46888889
12913,7.214444444,51.47
12925,7.3675,51.49361111
12928,7.529722222,51.53083333
12930,7.675,51.59611111
12959,8.696388889,52.18416667
12979,9.730833333,52.38333333
12987,10.57944444,52.44611111
12992,10.80777778,52.42722222
12993,10.84166667,52.44833333
13308,13.38111111,52.51611111
13384,13.46,52.51277778
13386,13.45222222,52.51277778
13742,13.38055556,52.51861111
14019,13.41583333,52.51888889
14043,13.42416667,52.50888889
14054,13.44694444,52.50416667
14064,13.41694444,52.51055556
14166,13.41694444,52.50305556
14168,13.42611111,52.49861111
14349,13.49111111,52.53472222
14835,13.4425,52.505
15115,13.33444444,52.51666667
15146,8.668888889,52.12361111
15147,8.669722222,52.11694444
15157,8.363055556,51.89222222
15161,8.167777778,51.81777778
15164,8.1425,51.82166667
15178,7.623888889,51.55972222
15185,7.464722222,51.51222222
15188,7.465,51.5125
15209,7.470555556,51.51416667
15211,7.463333333,51.51527778
15216,7.456111111,51.51388889
15331,7.439722222,51.49694444
15332,7.419444444,51.50083333
15333,7.501111111,51.48916667
15335,7.503888889,51.48444444
15338,7.535277778,51.47777778
15339,7.545555556,51.49305556
15342,7.5625,51.48333333
15343,7.556666667,51.49333333
15346,7.675277778,51.53805556
15348,7.687222222,51.54222222
15351,7.688888889,51.53388889
15515,7.759444444,51.59611111
15516,7.761388889,51.61055556
15534,7.819722222,51.71722222
15571,9.791111111,52.3725
15584,12.0475,52.58305556
15592,13.31583333,52.50444444
15594,13.33277778,52.50611111
16381,13.35222222,52.55027778
16464,13.34611111,52.5375
16858,11.08138889,49.49333333
16860,11.01472222,49.51194444
16870,11.07861111,49.49305556
16904,11.06166667,49.43861111
16916,10.96472222,49.47944444
16918,10.92416667,49.49055556
16919,10.88722222,49.51055556
16923,10.88361111,49.51083333
16925,10.87138889,49.51416667
16930,10.20833333,49.70444444
16933,10.06666667,49.78277778
16934,10.07333333,49.80527778
16944,9.998333333,49.79555556
16951,9.933888889,49.80166667
16953,9.57,49.99611111
16954,9.513055556,50.03972222
16956,9.296111111,50.0125
16957,9.228055556,49.99916667
16959,9.168611111,49.98777778
16961,9.137222222,49.97861111
16962,9.069722222,49.99583333
16963,9.059722222,50.00944444
16964,9.040277778,50.02555556
16965,9.033888889,50.04
16966,9.005277778,50.06944444
16967,8.953611111,50.0875
16969,8.879722222,50.12861111
16970,8.857777778,50.12305556
16973,8.723888889,50.10083333
16974,8.681666667,50.10138889
16976,8.668333333,50.1
16977,8.67,50.09666667
16979,8.663055556,50.10861111
16984,8.656388889,50.11222222
16985,8.655,50.11583333
17014,8.685277778,50.105
17047,8.686111111,50.11222222
17048,8.690833333,50.10305556
17071,8.6775,50.10527778
17079,8.588333333,50.05833333
17081,8.570277778,50.05222222
17085,8.569444444,50.04972222
17311,13.37861111,52.51694444
17435,13.33,52.48194444
17436,13.33138889,52.47722222
17439,13.33555556,52.48
17458,13.34722222,52.48527778
17461,13.35166667,52.50944444
17464,13.35166667,52.51611111
17465,13.34861111,52.51444444
