SRC_random Query: Large,Depth,BBoxes,Data Size
"[11, 20, 20, 29]",2,"[8, 16, 24, 32]",256
"[2, 1, 11, 10]",2,"[0, 0, 16, 16]",256
"[1, 15, 10, 24]",2,"[0, 8, 16, 24]",256
"[8, 0, 17, 9]",2,"[8, 0, 24, 16]",256
"[16, 21, 25, 30]",2,"[16, 16, 32, 32]",256
"[18, 18, 27, 27]",2,"[16, 16, 32, 32]",256
"[6, 7, 15, 16]",2,"[0, 0, 16, 16]",256
"[2, 20, 11, 29]",2,"[0, 16, 16, 32]",256
"[16, 22, 25, 31]",2,"[16, 16, 32, 32]",256
"[16, 13, 25, 22]",2,"[16, 8, 32, 24]",256
"[16, 9, 25, 18]",2,"[16, 8, 32, 24]",256
"[3, 4, 12, 13]",2,"[0, 0, 16, 16]",256
"[13, 18, 22, 27]",2,"[8, 16, 24, 32]",256
"[13, 2, 22, 11]",2,"[8, 0, 24, 16]",256
"[3, 13, 12, 22]",2,"[0, 8, 16, 24]",256
"[2, 3, 11, 12]",2,"[0, 0, 16, 16]",256
"[13, 4, 22, 13]",2,"[8, 0, 24, 16]",256
"[23, 0, 32, 9]",2,"[16, 0, 32, 16]",256
"[14, 13, 23, 22]",2,"[8, 8, 24, 24]",256
"[21, 13, 30, 22]",2,"[16, 8, 32, 24]",256
"[0, 15, 9, 24]",2,"[0, 8, 16, 24]",256
"[10, 23, 19, 32]",2,"[8, 16, 24, 32]",256
"[8, 2, 17, 11]",2,"[8, 0, 24, 16]",256
"[11, 2, 20, 11]",2,"[8, 0, 24, 16]",256
"[3, 11, 12, 20]",2,"[0, 8, 16, 24]",256
"[22, 0, 31, 9]",2,"[16, 0, 32, 16]",256
"[11, 11, 20, 20]",2,"[8, 8, 24, 24]",256
"[5, 0, 14, 9]",2,"[0, 0, 16, 16]",256
"[7, 11, 16, 20]",2,"[0, 8, 16, 24]",256
"[2, 19, 11, 28]",2,"[0, 16, 16, 32]",256
"[4, 6, 13, 15]",2,"[0, 0, 16, 16]",256
"[0, 6, 9, 15]",2,"[0, 0, 16, 16]",256
"[21, 21, 30, 30]",2,"[16, 16, 32, 32]",256
"[23, 3, 32, 12]",2,"[16, 0, 32, 16]",256
"[23, 0, 32, 9]",2,"[16, 0, 32, 16]",256
"[9, 11, 18, 20]",2,"[8, 8, 24, 24]",256
"[22, 0, 31, 9]",2,"[16, 0, 32, 16]",256
"[19, 7, 28, 16]",2,"[16, 0, 32, 16]",256
"[4, 5, 13, 14]",2,"[0, 0, 16, 16]",256
"[14, 3, 23, 12]",2,"[8, 0, 24, 16]",256
"[15, 11, 24, 20]",2,"[8, 8, 24, 24]",256
"[22, 8, 31, 17]",2,"[16, 8, 32, 24]",256
"[4, 0, 13, 9]",2,"[0, 0, 16, 16]",256
"[6, 11, 15, 20]",2,"[0, 8, 16, 24]",256
"[10, 15, 19, 24]",2,"[8, 8, 24, 24]",256
"[9, 9, 18, 18]",2,"[8, 8, 24, 24]",256
"[17, 20, 26, 29]",2,"[16, 16, 32, 32]",256
