,BRC Size,SRC Size,Diff,F/P %,Error %,SRC Depth
158,630,2631,2001,4.1761904761904765,23.945267958950968,3
159,1563,5262,3699,3.3666026871401153,29.70353477765108,2
160,67,5262,5195,78.53731343283582,1.273280121626758,2
161,939,5262,4323,5.603833865814696,17.844925883694412,2
162,0,1315,1315,inf,0.0,4
163,894,10524,9630,11.771812080536913,8.494868871151654,1
164,0,1316,1316,inf,0.0,4
165,1157,2631,1474,2.2739844425237683,43.975674648422654,3
166,543,1316,773,2.423572744014733,41.26139817629179,4
167,0,329,329,inf,0.0,6
168,787,2631,1844,3.343074968233799,29.912580767768908,3
169,480,658,178,1.3708333333333333,72.94832826747721,5
170,451,1316,865,2.917960088691796,34.27051671732523,4
171,108,1316,1208,12.185185185185185,8.206686930091186,4
172,944,2631,1687,2.7870762711864407,35.879893576586845,3
173,1045,2631,1586,2.5177033492822964,39.718738122386924,3
174,172,5262,5090,30.593023255813954,3.2687191182060054,2
175,103,1315,1212,12.766990291262136,7.832699619771863,4
176,0,5262,5262,inf,0.0,2
177,1462,2631,1169,1.7995896032831737,55.56822500950209,3
178,463,1316,853,2.8423326133909286,35.18237082066869,4
179,0,1316,1316,inf,0.0,4
180,713,10524,9811,14.760168302945301,6.77499049790954,1
181,124,5262,5138,42.435483870967744,2.356518434055492,2
182,469,2631,2162,5.609808102345416,17.82592170277461,3
183,1120,5262,4142,4.698214285714286,21.28468263017864,2
184,0,1315,1315,inf,0.0,4
185,0,1316,1316,inf,0.0,4
186,28,5262,5234,187.92857142857142,0.5321170657544659,2
187,743,5262,4519,7.082099596231494,14.120106423413151,2
188,892,2631,1739,2.9495515695067263,33.9034587609274,3
189,1162,5262,4100,4.5283993115318415,22.082858228810338,2
190,1,1316,1315,1316.0,0.07598784194528875,4
191,1240,2631,1391,2.121774193548387,47.13036868110984,3
192,1436,10524,9088,7.328690807799443,13.645001900418091,1
193,0,2,2,inf,0.0,13
194,999,5262,4263,5.267267267267267,18.985176738882554,2
195,990,2631,1641,2.6575757575757577,37.62827822120867,3
196,1203,10524,9321,8.748129675810473,11.431014823261117,1
197,1007,5262,4255,5.225422045680238,19.137210186240974,2
198,449,10524,10075,23.438752783964365,4.266438616495629,1
199,395,658,263,1.6658227848101266,60.03039513677811,5
200,1339,2631,1292,1.9648991784914116,50.89319650323071,3
201,0,1315,1315,inf,0.0,4
202,0,1316,1316,inf,0.0,4
203,424,2631,2207,6.205188679245283,16.115545419992397,3
204,0,10,10,inf,0.0,11
205,0,1316,1316,inf,0.0,4
206,0,1315,1315,inf,0.0,4
207,0,1315,1315,inf,0.0,4
208,228,2631,2403,11.539473684210526,8.665906499429875,3
209,1452,2631,1179,1.81198347107438,55.188141391106036,3
210,389,1316,927,3.3830334190231364,29.559270516717323,4
211,705,2631,1926,3.7319148936170214,26.795895096921324,3
212,0,2,2,inf,0.0,13
213,0,1315,1315,inf,0.0,4
214,784,5262,4478,6.711734693877551,14.899277841125047,2
215,818,2631,1813,3.2163814180929093,31.090839984796652,3
216,11,657,646,59.72727272727273,1.67427701674277,5
217,872,5262,4390,6.034403669724771,16.571645762067654,2
218,9,5262,5253,584.6666666666666,0.17103762827822122,2
219,0,5262,5262,inf,0.0,2
220,1953,5262,3309,2.69431643625192,37.115165336374,2
221,1,1316,1315,1316.0,0.07598784194528875,4
222,0,329,329,inf,0.0,6
223,1256,5262,4006,4.189490445859873,23.86925123527176,2
224,211,2631,2420,12.469194312796208,8.019764348156594,3
225,420,1316,896,3.1333333333333333,31.914893617021278,4
226,727,1315,588,1.8088033012379643,55.2851711026616,4
227,473,2631,2158,5.562367864693446,17.977955150133027,3
228,305,2631,2326,8.62622950819672,11.592550361079438,3
229,1505,2631,1126,1.7481727574750832,57.2025845686051,3
230,734,2631,1897,3.584468664850136,27.89813759026986,3
231,704,5262,4558,7.474431818181818,13.37894336754086,2
232,0,1316,1316,inf,0.0,4
233,1119,1315,196,1.1751563896336015,85.09505703422053,4
234,933,5262,4329,5.639871382636656,17.730900798175597,2
235,0,5262,5262,inf,0.0,2
236,0,5262,5262,inf,0.0,2
237,429,657,228,1.5314685314685315,65.29680365296804,5
238,1178,2631,1453,2.233446519524618,44.773850247054355,3
239,0,1316,1316,inf,0.0,4
240,0,1316,1316,inf,0.0,4
241,33,1316,1283,39.878787878787875,2.507598784194529,4
242,0,1315,1315,inf,0.0,4
243,0,1316,1316,inf,0.0,4
244,678,1316,638,1.9410029498525074,51.51975683890577,4
245,733,2631,1898,3.5893587994542973,27.860129228430253,3
246,0,1316,1316,inf,0.0,4
247,0,5262,5262,inf,0.0,2
248,0,2,2,inf,0.0,13
249,0,1315,1315,inf,0.0,4
250,952,5262,4310,5.527310924369748,18.091980235651846,2
251,2316,5262,2946,2.272020725388601,44.013683010262255,2
252,1022,2631,1609,2.5743639921722115,38.84454580007602,3
253,1392,5262,3870,3.7801724137931036,26.45381984036488,2
254,0,1316,1316,inf,0.0,4
255,227,5262,5035,23.180616740088105,4.313949068795135,2
