SRC_middle Query: Small,Depth,# Hops,BBoxes,Data Size
"[13, 43, 19, 49]",5,5,"[12, 40, 20, 56]",128
"[16, 35, 22, 41]",5,5,"[16, 32, 24, 48]",128
"[20, 23, 26, 29]",5,5,"[20, 16, 28, 32]",128
"[36, 58, 42, 64]",6,6,"[36, 56, 44, 64]",64
"[54, 2, 60, 8]",6,6,"[52, 0, 60, 8]",64
"[54, 47, 60, 53]",5,5,"[52, 40, 60, 56]",128
"[44, 38, 50, 44]",6,6,"[44, 36, 52, 44]",64
"[41, 31, 47, 37]",5,5,"[40, 24, 48, 40]",128
"[45, 41, 51, 47]",6,6,"[44, 40, 52, 48]",64
"[57, 29, 63, 35]",6,6,"[56, 28, 64, 36]",64
"[40, 27, 46, 33]",5,5,"[40, 24, 48, 40]",128
"[23, 55, 29, 61]",4,4,"[16, 48, 32, 64]",256
"[34, 11, 40, 17]",5,5,"[32, 8, 40, 24]",128
"[13, 24, 19, 30]",6,6,"[12, 24, 20, 32]",64
"[37, 18, 43, 24]",6,6,"[36, 16, 44, 24]",64
"[0, 8, 6, 14]",6,6,"[0, 8, 8, 16]",64
"[9, 17, 15, 23]",6,6,"[8, 16, 16, 24]",64
"[21, 21, 27, 27]",6,6,"[20, 20, 28, 28]",64
"[50, 23, 56, 29]",5,5,"[48, 16, 56, 32]",128
"[45, 5, 51, 11]",6,6,"[44, 4, 52, 12]",64
"[21, 49, 27, 55]",6,6,"[20, 48, 28, 56]",64
"[39, 2, 45, 8]",4,4,"[32, 0, 48, 16]",256
"[2, 17, 8, 23]",6,6,"[0, 16, 8, 24]",64
"[10, 9, 16, 15]",6,6,"[8, 8, 16, 16]",64
"[37, 18, 43, 24]",6,6,"[36, 16, 44, 24]",64
"[23, 25, 29, 31]",4,4,"[16, 24, 32, 40]",256
"[35, 8, 41, 14]",4,4,"[32, 8, 48, 24]",256
"[18, 7, 24, 13]",5,5,"[16, 0, 24, 16]",128
"[30, 46, 36, 52]",6,6,"[28, 44, 36, 52]",64
"[15, 3, 21, 9]",4,4,"[8, 0, 24, 16]",256
"[19, 11, 25, 17]",4,4,"[16, 8, 32, 24]",256
"[54, 33, 60, 39]",6,6,"[52, 32, 60, 40]",64
"[46, 4, 52, 10]",6,6,"[44, 4, 52, 12]",64
"[19, 25, 25, 31]",4,4,"[16, 24, 32, 40]",256
"[53, 21, 59, 27]",6,6,"[52, 20, 60, 28]",64
"[19, 26, 25, 32]",4,4,"[16, 24, 32, 40]",256
"[6, 6, 12, 12]",6,6,"[4, 4, 12, 12]",64
"[35, 58, 41, 64]",4,4,"[32, 48, 48, 64]",256
"[30, 30, 36, 36]",6,6,"[28, 28, 36, 36]",64
"[21, 53, 27, 59]",6,6,"[20, 52, 28, 60]",64
"[51, 51, 57, 57]",4,4,"[48, 48, 64, 64]",256
"[21, 7, 27, 13]",5,5,"[20, 0, 28, 16]",128
"[30, 7, 36, 13]",5,5,"[28, 0, 36, 16]",128
"[44, 31, 50, 37]",5,5,"[44, 24, 52, 40]",128
"[27, 2, 33, 8]",4,4,"[24, 0, 40, 16]",256
"[19, 21, 25, 27]",4,4,"[16, 16, 32, 32]",256
"[47, 43, 53, 49]",4,4,"[40, 40, 56, 56]",256
"[57, 9, 63, 15]",6,6,"[56, 8, 64, 16]",64
"[58, 10, 64, 16]",6,6,"[56, 8, 64, 16]",64
"[40, 36, 46, 42]",6,6,"[40, 36, 48, 44]",64
"[24, 51, 30, 57]",5,5,"[24, 48, 32, 64]",128
"[40, 5, 46, 11]",6,6,"[40, 4, 48, 12]",64
"[4, 51, 10, 57]",5,5,"[4, 48, 12, 64]",128
"[5, 12, 11, 18]",6,6,"[4, 12, 12, 20]",64
"[47, 14, 53, 20]",4,4,"[40, 8, 56, 24]",256
"[3, 24, 9, 30]",4,4,"[0, 24, 16, 40]",256
"[0, 6, 6, 12]",6,6,"[0, 4, 8, 12]",64
"[25, 35, 31, 41]",5,5,"[24, 32, 32, 48]",128
"[33, 18, 39, 24]",6,6,"[32, 16, 40, 24]",64
"[28, 58, 34, 64]",6,6,"[28, 56, 36, 64]",64
"[31, 50, 37, 56]",4,4,"[24, 40, 40, 56]",256
"[37, 45, 43, 51]",6,6,"[36, 44, 44, 52]",64
"[43, 13, 49, 19]",4,4,"[40, 8, 56, 24]",256
"[27, 5, 33, 11]",4,4,"[24, 0, 40, 16]",256
"[23, 14, 29, 20]",4,4,"[16, 8, 32, 24]",256
"[16, 37, 22, 43]",6,6,"[16, 36, 24, 44]",64
"[49, 10, 55, 16]",6,6,"[48, 8, 56, 16]",64
"[27, 12, 33, 18]",4,4,"[24, 8, 40, 24]",256
"[22, 7, 28, 13]",5,5,"[20, 0, 28, 16]",128
"[4, 52, 10, 58]",6,6,"[4, 52, 12, 60]",64
"[55, 54, 61, 60]",4,4,"[48, 48, 64, 64]",256
"[44, 1, 50, 7]",6,6,"[44, 0, 52, 8]",64
"[57, 33, 63, 39]",6,6,"[56, 32, 64, 40]",64
"[28, 48, 34, 54]",6,6,"[28, 48, 36, 56]",64
"[43, 12, 49, 18]",4,4,"[40, 8, 56, 24]",256
"[7, 31, 13, 37]",4,4,"[0, 24, 16, 40]",256
"[25, 16, 31, 22]",6,6,"[24, 16, 32, 24]",64
"[13, 41, 19, 47]",6,6,"[12, 40, 20, 48]",64
"[2, 51, 8, 57]",5,5,"[0, 48, 8, 64]",128
"[13, 39, 19, 45]",5,5,"[12, 32, 20, 48]",128
"[9, 6, 15, 12]",6,6,"[8, 4, 16, 12]",64
"[12, 29, 18, 35]",6,6,"[12, 28, 20, 36]",64
"[24, 23, 30, 29]",5,5,"[24, 16, 32, 32]",128
"[34, 52, 40, 58]",6,6,"[32, 52, 40, 60]",64
"[9, 6, 15, 12]",6,6,"[8, 4, 16, 12]",64
"[38, 31, 44, 37]",5,5,"[36, 24, 44, 40]",128
"[9, 36, 15, 42]",6,6,"[8, 36, 16, 44]",64
"[25, 40, 31, 46]",6,6,"[24, 40, 32, 48]",64
"[43, 27, 49, 33]",4,4,"[40, 24, 56, 40]",256
"[56, 33, 62, 39]",6,6,"[56, 32, 64, 40]",64
"[31, 43, 37, 49]",4,4,"[24, 40, 40, 56]",256
"[58, 56, 64, 62]",6,6,"[56, 56, 64, 64]",64
"[20, 53, 26, 59]",6,6,"[20, 52, 28, 60]",64
"[31, 31, 37, 37]",4,4,"[24, 24, 40, 40]",256
"[40, 42, 46, 48]",6,6,"[40, 40, 48, 48]",64
"[55, 12, 61, 18]",4,4,"[48, 8, 64, 24]",256
"[34, 39, 40, 45]",5,5,"[32, 32, 40, 48]",128
"[14, 0, 20, 6]",6,6,"[12, 0, 20, 8]",64
"[21, 45, 27, 51]",6,6,"[20, 44, 28, 52]",64
"[47, 57, 53, 63]",4,4,"[40, 48, 56, 64]",256
"[20, 52, 26, 58]",6,6,"[20, 52, 28, 60]",64
"[20, 2, 26, 8]",6,6,"[20, 0, 28, 8]",64
"[33, 9, 39, 15]",6,6,"[32, 8, 40, 16]",64
"[55, 16, 61, 22]",4,4,"[48, 16, 64, 32]",256
"[38, 50, 44, 56]",6,6,"[36, 48, 44, 56]",64
"[9, 53, 15, 59]",6,6,"[8, 52, 16, 60]",64
"[24, 37, 30, 43]",6,6,"[24, 36, 32, 44]",64
"[18, 45, 24, 51]",6,6,"[16, 44, 24, 52]",64
"[45, 51, 51, 57]",5,5,"[44, 48, 52, 64]",128
"[30, 4, 36, 10]",6,6,"[28, 4, 36, 12]",64
"[51, 5, 57, 11]",4,4,"[48, 0, 64, 16]",256
"[33, 55, 39, 61]",5,5,"[32, 48, 40, 64]",128
"[58, 2, 64, 8]",6,6,"[56, 0, 64, 8]",64
"[4, 14, 10, 20]",6,6,"[4, 12, 12, 20]",64
"[8, 2, 14, 8]",6,6,"[8, 0, 16, 8]",64
"[19, 0, 25, 6]",4,4,"[16, 0, 32, 16]",256
"[48, 54, 54, 60]",6,6,"[48, 52, 56, 60]",64
"[28, 21, 34, 27]",6,6,"[28, 20, 36, 28]",64
"[55, 10, 61, 16]",4,4,"[48, 8, 64, 24]",256
"[51, 9, 57, 15]",4,4,"[48, 8, 64, 24]",256
"[55, 41, 61, 47]",4,4,"[48, 32, 64, 48]",256
"[29, 23, 35, 29]",5,5,"[28, 16, 36, 32]",128
"[32, 24, 38, 30]",6,6,"[32, 24, 40, 32]",64
"[57, 33, 63, 39]",6,6,"[56, 32, 64, 40]",64
"[32, 2, 38, 8]",6,6,"[32, 0, 40, 8]",64
"[36, 5, 42, 11]",6,6,"[36, 4, 44, 12]",64
"[43, 50, 49, 56]",4,4,"[40, 40, 56, 56]",256
"[51, 33, 57, 39]",4,4,"[48, 24, 64, 40]",256
"[48, 38, 54, 44]",6,6,"[48, 36, 56, 44]",64
"[4, 47, 10, 53]",5,5,"[4, 40, 12, 56]",128
"[27, 57, 33, 63]",4,4,"[24, 48, 40, 64]",256
"[48, 13, 54, 19]",6,6,"[48, 12, 56, 20]",64
"[18, 34, 24, 40]",6,6,"[16, 32, 24, 40]",64
"[57, 38, 63, 44]",6,6,"[56, 36, 64, 44]",64
"[26, 52, 32, 58]",6,6,"[24, 52, 32, 60]",64
"[30, 54, 36, 60]",6,6,"[28, 52, 36, 60]",64
"[50, 24, 56, 30]",6,6,"[48, 24, 56, 32]",64
"[38, 37, 44, 43]",6,6,"[36, 36, 44, 44]",64
"[14, 54, 20, 60]",6,6,"[12, 52, 20, 60]",64
"[55, 51, 61, 57]",4,4,"[48, 48, 64, 64]",256
"[1, 42, 7, 48]",6,6,"[0, 40, 8, 48]",64
"[56, 0, 62, 6]",6,6,"[56, 0, 64, 8]",64
"[47, 11, 53, 17]",4,4,"[40, 8, 56, 24]",256
"[19, 32, 25, 38]",4,4,"[16, 24, 32, 40]",256
"[36, 16, 42, 22]",6,6,"[36, 16, 44, 24]",64
"[21, 4, 27, 10]",6,6,"[20, 4, 28, 12]",64
"[31, 55, 37, 61]",4,4,"[24, 48, 40, 64]",256
"[16, 52, 22, 58]",6,6,"[16, 52, 24, 60]",64
"[19, 49, 25, 55]",4,4,"[16, 40, 32, 56]",256
"[26, 24, 32, 30]",6,6,"[24, 24, 32, 32]",64
"[51, 24, 57, 30]",4,4,"[48, 24, 64, 40]",256
"[3, 10, 9, 16]",4,4,"[0, 8, 16, 24]",256
"[41, 8, 47, 14]",6,6,"[40, 8, 48, 16]",64
"[15, 18, 21, 24]",4,4,"[8, 16, 24, 32]",256
"[46, 53, 52, 59]",6,6,"[44, 52, 52, 60]",64
"[21, 3, 27, 9]",5,5,"[20, 0, 28, 16]",128
"[2, 30, 8, 36]",6,6,"[0, 28, 8, 36]",64
"[26, 9, 32, 15]",6,6,"[24, 8, 32, 16]",64
"[31, 56, 37, 62]",4,4,"[24, 48, 40, 64]",256
"[55, 38, 61, 44]",4,4,"[48, 32, 64, 48]",256
"[45, 5, 51, 11]",6,6,"[44, 4, 52, 12]",64
"[43, 44, 49, 50]",4,4,"[40, 40, 56, 56]",256
"[9, 51, 15, 57]",5,5,"[8, 48, 16, 64]",128
"[22, 26, 28, 32]",6,6,"[20, 24, 28, 32]",64
"[2, 39, 8, 45]",5,5,"[0, 32, 8, 48]",128
"[29, 24, 35, 30]",6,6,"[28, 24, 36, 32]",64
"[29, 3, 35, 9]",5,5,"[28, 0, 36, 16]",128
"[6, 30, 12, 36]",6,6,"[4, 28, 12, 36]",64
"[49, 9, 55, 15]",6,6,"[48, 8, 56, 16]",64
"[1, 2, 7, 8]",6,6,"[0, 0, 8, 8]",64
"[38, 39, 44, 45]",5,5,"[36, 32, 44, 48]",128
