,BRC Size,SRC Size,Diff,F/P %,SRC Depth,Error %
406,896,21048,20152,23.491071428571427,0,4.2569365260357275
407,547,1315,768,2.4040219378427787,4,41.59695817490494
408,1553,21048,19495,13.553122987765615,0,7.378373242113264
409,788,21048,20260,26.710659898477157,0,3.743823641201064
410,31,5262,5231,169.74193548387098,2,0.589129608513873
411,0,5262,5262,inf,2,0.0
412,1499,10524,9025,7.020680453635757,1,14.243633599391867
413,1393,5262,3869,3.7774587221823404,2,26.47282402128468
414,0,5262,5262,inf,2,0.0
415,59,1316,1257,22.305084745762713,4,4.4832826747720365
416,682,10524,9842,15.43108504398827,1,6.480425693652604
417,2505,21048,18543,8.402395209580838,0,11.901368301026226
418,1727,10524,8797,6.093804284887088,1,16.410110224249337
419,1391,21048,19657,15.13156002875629,0,6.60870391486127
420,2922,21048,18126,7.2032854209445585,0,13.882554161915623
421,2013,21048,19035,10.456035767511178,0,9.563854047890535
422,40,5262,5222,131.55,2,0.7601672367920942
423,1451,10524,9073,7.252929014472778,1,13.787533257316609
424,0,2,2,inf,13,0.0
425,0,1316,1316,inf,4,0.0
426,0,21048,21048,inf,0,0.0
427,0,5262,5262,inf,2,0.0
428,1127,5262,4135,4.669032830523514,2,21.417711896617256
429,0,21048,21048,inf,0,0.0
430,1128,10524,9396,9.329787234042554,1,10.718358038768528
431,2059,21048,18989,10.22243807673628,0,9.782402128468263
432,0,21048,21048,inf,0,0.0
433,0,5262,5262,inf,2,0.0
434,1975,10524,8549,5.328607594936709,1,18.766628658304825
435,0,5262,5262,inf,2,0.0
436,351,1315,964,3.7464387464387463,4,26.692015209125476
437,958,21048,20090,21.970772442588725,0,4.551501330292664
438,3485,10524,7039,3.0197991391678625,1,33.11478525275561
439,415,5262,4847,12.679518072289156,2,7.886735081717979
440,0,328,328,inf,6,0.0
441,412,657,245,1.5946601941747574,5,62.70928462709284
442,24,1316,1292,54.833333333333336,4,1.82370820668693
443,924,1315,391,1.423160173160173,4,70.26615969581749
444,2800,21048,18248,7.517142857142857,0,13.302926643861648
445,2494,10524,8030,4.219727345629511,1,23.698213606993537
446,27,5262,5235,194.88888888888889,2,0.5131128848346637
447,366,21048,20682,57.50819672131148,0,1.7388825541619155
448,649,5262,4613,8.107858243451464,2,12.33371341695173
449,1589,21048,19459,13.246066708621775,0,7.549410870391486
450,0,5262,5262,inf,2,0.0
451,2812,10524,7712,3.7425320056899003,1,26.71987837324211
452,118,2631,2513,22.296610169491526,3,4.484986697073356
453,2496,10524,8028,4.216346153846154,1,23.71721778791334
454,1343,21048,19705,15.672375279225614,0,6.3806537438236415
455,0,5262,5262,inf,2,0.0
456,46,21048,21002,457.5652173913044,0,0.2185480805777271
457,2454,21048,18594,8.577017114914426,0,11.659064994298745
458,1020,5262,4242,5.158823529411765,2,19.384264538198405
459,1314,5262,3948,4.004566210045662,2,24.9714937286203
460,3998,21048,17050,5.264632316158079,0,18.994678829342455
461,86,5262,5176,61.18604651162791,2,1.6343595591030027
462,2339,10524,8185,4.499358700299273,1,22.225389585708854
463,2120,21048,18928,9.928301886792452,0,10.072215887495249
464,2333,21048,18715,9.02186026575225,0,11.084188521474726
465,432,21048,20616,48.72222222222222,0,2.0524515393386547
466,964,5262,4298,5.45850622406639,2,18.320030406689472
467,0,5262,5262,inf,2,0.0
468,2723,21048,18325,7.7297098788101355,0,12.937096161155454
469,226,21048,20822,93.13274336283186,0,1.0737362219688331
470,2901,10524,7623,3.6277145811789038,1,27.565564424173317
471,1603,21048,19445,13.130380536494073,0,7.615925503610795
472,43,5262,5219,122.37209302325581,2,0.8171797795515013
473,1173,21048,19875,17.943734015345267,0,5.572976054732041
474,1153,10524,9371,9.127493495229835,1,10.955910300266058
475,1046,2631,1585,2.5152963671128106,3,39.75674648422653
476,0,5262,5262,inf,2,0.0
477,3121,10524,7403,3.3719961550785005,1,29.656024325351577
478,1157,10524,9367,9.095937770095073,1,10.993918662105663
479,0,1316,1316,inf,4,0.0
480,1208,5262,4054,4.355960264900662,2,22.957050551121245
481,1253,21048,19795,16.79808459696728,0,5.953059673128088
482,0,5262,5262,inf,2,0.0
483,2371,21048,18677,8.877266975959511,0,11.264728240212847
484,929,5262,4333,5.664155005382131,2,17.654884074496387
485,0,5262,5262,inf,2,0.0
486,865,2631,1766,3.041618497109827,3,32.877232991258076
487,2191,21048,18857,9.606572341396623,0,10.40954009882174
488,867,10524,9657,12.13840830449827,1,8.238312428734321
489,1187,5262,4075,4.433024431339511,2,22.5579627518054
490,1627,5262,3635,3.234173325138291,2,30.91980235651843
491,2272,5262,2990,2.3160211267605635,2,43.17749904979095
492,1380,21048,19668,15.252173913043478,0,6.556442417331813
493,0,1315,1315,inf,4,0.0
494,842,1315,473,1.5617577197149644,4,64.03041825095058
495,26,5262,5236,202.3846153846154,2,0.4941087039148613
496,2309,5262,2953,2.2789086184495453,2,43.880653743823636
497,1636,21048,19412,12.865525672371637,0,7.772709996199163
498,117,657,540,5.615384615384615,5,17.80821917808219
