,BBOX,Depth
592,"[10, 6, 12, 8]",6
593,"[10, 7, 12, 9]",6
594,"[10, 8, 12, 10]",6
595,"[8, 8, 12, 12]",4
596,"[8, 8, 10, 12]",5
597,"[8, 8, 10, 10]",6
598,"[8, 9, 10, 11]",6
599,"[8, 10, 10, 12]",6
600,"[9, 8, 11, 12]",5
601,"[9, 8, 11, 10]",6
602,"[9, 9, 11, 11]",6
603,"[9, 10, 11, 12]",6
604,"[10, 8, 12, 12]",5
605,"[10, 8, 12, 10]",6
606,"[10, 9, 12, 11]",6
607,"[10, 10, 12, 12]",6
608,"[4, 8, 12, 16]",2
609,"[4, 8, 8, 16]",3
610,"[4, 8, 8, 12]",4
611,"[4, 8, 6, 12]",5
612,"[4, 8, 6, 10]",6
613,"[4, 9, 6, 11]",6
614,"[4, 10, 6, 12]",6
615,"[5, 8, 7, 12]",5
616,"[5, 8, 7, 10]",6
617,"[5, 9, 7, 11]",6
618,"[5, 10, 7, 12]",6
619,"[6, 8, 8, 12]",5
620,"[6, 8, 8, 10]",6
621,"[6, 9, 8, 11]",6
622,"[6, 10, 8, 12]",6
623,"[4, 10, 8, 14]",4
624,"[4, 10, 6, 14]",5
625,"[4, 10, 6, 12]",6
626,"[4, 11, 6, 13]",6
627,"[4, 12, 6, 14]",6
628,"[5, 10, 7, 14]",5
629,"[5, 10, 7, 12]",6
630,"[5, 11, 7, 13]",6
631,"[5, 12, 7, 14]",6
632,"[6, 10, 8, 14]",5
633,"[6, 10, 8, 12]",6
634,"[6, 11, 8, 13]",6
635,"[6, 12, 8, 14]",6
636,"[4, 12, 8, 16]",4
637,"[4, 12, 6, 16]",5
638,"[4, 12, 6, 14]",6
639,"[4, 13, 6, 15]",6
640,"[4, 14, 6, 16]",6
641,"[5, 12, 7, 16]",5
642,"[5, 12, 7, 14]",6
643,"[5, 13, 7, 15]",6
644,"[5, 14, 7, 16]",6
645,"[6, 12, 8, 16]",5
646,"[6, 12, 8, 14]",6
647,"[6, 13, 8, 15]",6
648,"[6, 14, 8, 16]",6
649,"[6, 8, 10, 16]",3
650,"[6, 8, 10, 12]",4
651,"[6, 8, 8, 12]",5
652,"[6, 8, 8, 10]",6
653,"[6, 9, 8, 11]",6
654,"[6, 10, 8, 12]",6
655,"[7, 8, 9, 12]",5
656,"[7, 8, 9, 10]",6
657,"[7, 9, 9, 11]",6
658,"[7, 10, 9, 12]",6
659,"[8, 8, 10, 12]",5
660,"[8, 8, 10, 10]",6
661,"[8, 9, 10, 11]",6
662,"[8, 10, 10, 12]",6
663,"[6, 10, 10, 14]",4
664,"[6, 10, 8, 14]",5
665,"[6, 10, 8, 12]",6
666,"[6, 11, 8, 13]",6
667,"[6, 12, 8, 14]",6
668,"[7, 10, 9, 14]",5
669,"[7, 10, 9, 12]",6
670,"[7, 11, 9, 13]",6
671,"[7, 12, 9, 14]",6
672,"[8, 10, 10, 14]",5
673,"[8, 10, 10, 12]",6
674,"[8, 11, 10, 13]",6
675,"[8, 12, 10, 14]",6
676,"[6, 12, 10, 16]",4
677,"[6, 12, 8, 16]",5
678,"[6, 12, 8, 14]",6
679,"[6, 13, 8, 15]",6
680,"[6, 14, 8, 16]",6
681,"[7, 12, 9, 16]",5
682,"[7, 12, 9, 14]",6
683,"[7, 13, 9, 15]",6
684,"[7, 14, 9, 16]",6
685,"[8, 12, 10, 16]",5
686,"[8, 12, 10, 14]",6
687,"[8, 13, 10, 15]",6
688,"[8, 14, 10, 16]",6
689,"[8, 8, 12, 16]",3
690,"[8, 8, 12, 12]",4
691,"[8, 8, 10, 12]",5
692,"[8, 8, 10, 10]",6
693,"[8, 9, 10, 11]",6
694,"[8, 10, 10, 12]",6
695,"[9, 8, 11, 12]",5
696,"[9, 8, 11, 10]",6
697,"[9, 9, 11, 11]",6
698,"[9, 10, 11, 12]",6
699,"[10, 8, 12, 12]",5
700,"[10, 8, 12, 10]",6
701,"[10, 9, 12, 11]",6
702,"[10, 10, 12, 12]",6
703,"[8, 10, 12, 14]",4
704,"[8, 10, 10, 14]",5
705,"[8, 10, 10, 12]",6
706,"[8, 11, 10, 13]",6
707,"[8, 12, 10, 14]",6
708,"[9, 10, 11, 14]",5
709,"[9, 10, 11, 12]",6
710,"[9, 11, 11, 13]",6
711,"[9, 12, 11, 14]",6
712,"[10, 10, 12, 14]",5
713,"[10, 10, 12, 12]",6
714,"[10, 11, 12, 13]",6
715,"[10, 12, 12, 14]",6
716,"[8, 12, 12, 16]",4
717,"[8, 12, 10, 16]",5
718,"[8, 12, 10, 14]",6
719,"[8, 13, 10, 15]",6
720,"[8, 14, 10, 16]",6
721,"[9, 12, 11, 16]",5
722,"[9, 12, 11, 14]",6
723,"[9, 13, 11, 15]",6
724,"[9, 14, 11, 16]",6
725,"[10, 12, 12, 16]",5
726,"[10, 12, 12, 14]",6
727,"[10, 13, 12, 15]",6
728,"[10, 14, 12, 16]",6
729,"[8, 0, 16, 16]",1
730,"[8, 0, 16, 8]",2
731,"[8, 0, 12, 8]",3
732,"[8, 0, 12, 4]",4
733,"[8, 0, 10, 4]",5
734,"[8, 0, 10, 2]",6
735,"[8, 1, 10, 3]",6
736,"[8, 2, 10, 4]",6
737,"[9, 0, 11, 4]",5
738,"[9, 0, 11, 2]",6
739,"[9, 1, 11, 3]",6
740,"[9, 2, 11, 4]",6
741,"[10, 0, 12, 4]",5
742,"[10, 0, 12, 2]",6
743,"[10, 1, 12, 3]",6
744,"[10, 2, 12, 4]",6
745,"[8, 2, 12, 6]",4
746,"[8, 2, 10, 6]",5
747,"[8, 2, 10, 4]",6
748,"[8, 3, 10, 5]",6
749,"[8, 4, 10, 6]",6
750,"[9, 2, 11, 6]",5
751,"[9, 2, 11, 4]",6
752,"[9, 3, 11, 5]",6
753,"[9, 4, 11, 6]",6
754,"[10, 2, 12, 6]",5
755,"[10, 2, 12, 4]",6
756,"[10, 3, 12, 5]",6
757,"[10, 4, 12, 6]",6
758,"[8, 4, 12, 8]",4
759,"[8, 4, 10, 8]",5
760,"[8, 4, 10, 6]",6
761,"[8, 5, 10, 7]",6
762,"[8, 6, 10, 8]",6
763,"[9, 4, 11, 8]",5
764,"[9, 4, 11, 6]",6
765,"[9, 5, 11, 7]",6
766,"[9, 6, 11, 8]",6
767,"[10, 4, 12, 8]",5
768,"[10, 4, 12, 6]",6
769,"[10, 5, 12, 7]",6
770,"[10, 6, 12, 8]",6
771,"[10, 0, 14, 8]",3
772,"[10, 0, 14, 4]",4
773,"[10, 0, 12, 4]",5
