,BBOX,Depth,parent
161,"[2, 8, 4, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA4E0>, <__main__.DAGTree object at 0x0000021CEA5FA690>]"
162,"[2, 9, 4, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA690>]
163,"[2, 10, 4, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA690>, <__main__.DAGTree object at 0x0000021CEA5FAEA0>]"
164,"[2, 4, 6, 12]",3,[<__main__.DAGTree object at 0x0000021CEA515700>]
165,"[2, 4, 6, 8]",4,"[<__main__.DAGTree object at 0x0000021CEA1FFE00>, <__main__.DAGTree object at 0x0000021CEA5FA420>]"
166,"[2, 4, 4, 8]",5,"[<__main__.DAGTree object at 0x0000021CEA4ED1C0>, <__main__.DAGTree object at 0x0000021CEA5F9B50>]"
167,"[2, 4, 4, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9790>, <__main__.DAGTree object at 0x0000021CEA5F9940>]"
168,"[2, 5, 4, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5F9940>]
169,"[2, 6, 4, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9940>, <__main__.DAGTree object at 0x0000021CEA5FA4E0>]"
170,"[3, 4, 5, 8]",5,[<__main__.DAGTree object at 0x0000021CEA5F9B50>]
171,"[3, 4, 5, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9D30>, <__main__.DAGTree object at 0x0000021CEA5F9E50>]"
172,"[3, 5, 5, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5F9E50>]
173,"[3, 6, 5, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9E50>, <__main__.DAGTree object at 0x0000021CEA5FA870>]"
174,"[4, 4, 6, 8]",5,"[<__main__.DAGTree object at 0x0000021CEA5F9B50>, <__main__.DAGTree object at 0x0000021CEA5F9FA0>]"
175,"[4, 4, 6, 6]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9D60>, <__main__.DAGTree object at 0x0000021CEA5F9E80>]"
176,"[4, 5, 6, 7]",6,[<__main__.DAGTree object at 0x0000021CEA5F9E80>]
177,"[4, 6, 6, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9E80>, <__main__.DAGTree object at 0x0000021CEA5FA8A0>]"
178,"[2, 6, 6, 10]",4,[<__main__.DAGTree object at 0x0000021CEA5FA420>]
179,"[2, 6, 4, 10]",5,"[<__main__.DAGTree object at 0x0000021CEA5FA450>, <__main__.DAGTree object at 0x0000021CEA5FA810>]"
180,"[2, 6, 4, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9940>, <__main__.DAGTree object at 0x0000021CEA5FA4E0>]"
181,"[2, 7, 4, 9]",6,[<__main__.DAGTree object at 0x0000021CEA5FA4E0>]
182,"[2, 8, 4, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA4E0>, <__main__.DAGTree object at 0x0000021CEA5FA690>]"
183,"[3, 6, 5, 10]",5,[<__main__.DAGTree object at 0x0000021CEA5FA810>]
184,"[3, 6, 5, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9E50>, <__main__.DAGTree object at 0x0000021CEA5FA870>]"
185,"[3, 7, 5, 9]",6,[<__main__.DAGTree object at 0x0000021CEA5FA870>]
186,"[3, 8, 5, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA870>, <__main__.DAGTree object at 0x0000021CEA5FA990>]"
187,"[4, 6, 6, 10]",5,"[<__main__.DAGTree object at 0x0000021CEA5FA810>, <__main__.DAGTree object at 0x0000021CEA5FAAB0>]"
188,"[4, 6, 6, 8]",6,"[<__main__.DAGTree object at 0x0000021CEA5F9E80>, <__main__.DAGTree object at 0x0000021CEA5FA8A0>]"
189,"[4, 7, 6, 9]",6,[<__main__.DAGTree object at 0x0000021CEA5FA8A0>]
190,"[4, 8, 6, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA8A0>, <__main__.DAGTree object at 0x0000021CEA5FA9C0>]"
191,"[2, 8, 6, 12]",4,"[<__main__.DAGTree object at 0x0000021CEA5FA420>, <__main__.DAGTree object at 0x0000021CEA5FADB0>]"
192,"[2, 8, 4, 12]",5,"[<__main__.DAGTree object at 0x0000021CEA5FA480>, <__main__.DAGTree object at 0x0000021CEA5FA840>]"
193,"[2, 8, 4, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA4E0>, <__main__.DAGTree object at 0x0000021CEA5FA690>]"
194,"[2, 9, 4, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA690>]
195,"[2, 10, 4, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA690>, <__main__.DAGTree object at 0x0000021CEA5FAEA0>]"
196,"[3, 8, 5, 12]",5,[<__main__.DAGTree object at 0x0000021CEA5FA840>]
197,"[3, 8, 5, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA870>, <__main__.DAGTree object at 0x0000021CEA5FA990>]"
198,"[3, 9, 5, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA990>]
199,"[3, 10, 5, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA990>, <__main__.DAGTree object at 0x0000021CEA5FB260>]"
200,"[4, 8, 6, 12]",5,"[<__main__.DAGTree object at 0x0000021CEA5FA840>, <__main__.DAGTree object at 0x0000021CEA5FAAE0>]"
201,"[4, 8, 6, 10]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA8A0>, <__main__.DAGTree object at 0x0000021CEA5FA9C0>]"
202,"[4, 9, 6, 11]",6,[<__main__.DAGTree object at 0x0000021CEA5FA9C0>]
203,"[4, 10, 6, 12]",6,"[<__main__.DAGTree object at 0x0000021CEA5FA9C0>, <__main__.DAGTree object at 0x0000021CEA5FB290>]"
204,"[4, 4, 8, 12]",3,"[<__main__.DAGTree object at 0x0000021CEA515700>, <__main__.DAGTree object at 0x0000021CEA5FB7A0>]"
