BRC Query: Medium,Points,Num Of Points
"[133792, 33417, 227023, 126648]","[(145935, 34939), (181333, 62750), (200563, 62770)]",3
"[169534, 102272, 262765, 195503]","[(182621, 142145)]",1
"[282345, 45269, 375576, 138500]",[],0
"[166803, 219493, 260034, 219328]",[],0
"[180356, 164997, 273587, 219328]","[(249218, 208706), (243245, 219327)]",2
"[225550, 65081, 318781, 158312]",[],0
"[60231, 302153, 153462, 219328]",[],0
"[260389, 256631, 353620, 219328]",[],0
"[184844, 188289, 278075, 219328]","[(249218, 208706), (243245, 219327)]",2
"[73299, 259296, 166530, 219328]",[],0
"[68938, 374906, 162169, 219328]",[],0
"[269073, 231744, 362304, 219328]",[],0
"[27947, 166401, 121178, 219328]",[],0
"[183796, 368360, 277027, 219328]",[],0
"[89729, 95440, 182960, 188671]","[(182621, 142145)]",1
"[336710, 304070, 429941, 219328]",[],0
"[205024, 343073, 298255, 219328]",[],0
"[53689, 42633, 146920, 135864]","[(59458, 97155), (103123, 45841), (97257, 47150), (72803, 67715)]",4
"[52508, 111947, 145739, 205178]",[],0
"[124015, 40180, 217246, 133411]","[(181333, 62750), (200563, 62770)]",2
"[209869, 12233, 303100, 105464]","[(217026, 12784), (219818, 13637), (250983, 13907), (286201, 14322), (221990, 14496), (244062, 15465), (229026, 16672), (232460, 17215), (277400, 19941), (260858, 24535)]",10
"[59537, 214585, 152768, 219328]",[],0
"[299869, 280224, 393100, 219328]",[],0
"[160066, 243283, 253297, 219328]",[],0
"[264293, 314767, 357524, 219328]",[],0
"[364267, 122020, 457498, 215251]",[],0
"[229910, 51980, 323141, 145211]",[],0
"[201228, 123532, 294459, 216763]","[(249218, 208706)]",1
"[144912, 314945, 238143, 219328]",[],0
"[95453, 234201, 188684, 219328]",[],0
"[108751, 196084, 201982, 219328]",[],0
"[68416, 41596, 161647, 134827]","[(103123, 45841), (97257, 47150), (72803, 67715)]",3
"[376169, 22597, 469400, 115828]","[(462771, 37243)]",1
"[283795, 244891, 377026, 219328]",[],0
"[363018, 113859, 456249, 207090]",[],0
"[70460, 268733, 163691, 219328]",[],0
"[216759, 142586, 309990, 219328]","[(249218, 208706), (243245, 219327)]",2
"[116766, 344184, 209997, 219328]",[],0
"[30190, 121307, 123421, 214538]",[],0
"[334966, 84848, 428197, 178079]",[],0
"[62973, 111910, 156204, 205141]",[],0
"[248454, 206314, 341685, 219328]","[(249218, 208706)]",1
"[197721, 294583, 290952, 219328]",[],0
"[87459, 63034, 180690, 156265]",[],0
"[320718, 263917, 413949, 219328]",[],0
"[85922, 303765, 179153, 219328]",[],0
"[220929, 342803, 314160, 219328]",[],0
"[364595, 230016, 457826, 219328]",[],0
"[281390, 267852, 374621, 219328]",[],0
"[364275, 177179, 457506, 219328]",[],0
"[269443, 269551, 362674, 219328]",[],0
"[341073, 359425, 434304, 219328]",[],0
"[114018, 292705, 207249, 219328]",[],0
"[327812, 122817, 421043, 216048]",[],0
"[13205, 186490, 106436, 219328]",[],0
"[378051, 174976, 471282, 219328]",[],0
"[176845, 26712, 270076, 119943]","[(181333, 62750), (200563, 62770)]",2
"[283424, 85903, 376655, 179134]",[],0
"[142797, 324045, 236028, 219328]",[],0
"[89856, 206824, 183087, 219328]",[],0
"[313749, 162458, 406980, 219328]",[],0
"[378459, 254758, 471690, 219328]",[],0
"[42908, 52494, 136139, 145725]","[(45785, 56718), (59458, 97155), (72803, 67715)]",3
"[278926, 28782, 372157, 122013]",[],0
"[42905, 126129, 136136, 219328]",[],0
"[76533, 29419, 169764, 122650]","[(91686, 32602), (98740, 33456), (105291, 33531), (145935, 34939), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150)]",8
"[165638, 16130, 258869, 109361]","[(229026, 16672), (232460, 17215), (194547, 17907), (165683, 22519), (181333, 62750), (200563, 62770)]",6
"[243306, 181443, 336537, 219328]","[(249218, 208706)]",1
"[92364, 86141, 185595, 179372]","[(182621, 142145)]",1
"[352093, 249674, 445324, 219328]",[],0
"[202796, 272882, 296027, 219328]",[],0
"[208516, 285888, 301747, 219328]",[],0
"[271534, 25742, 364765, 118973]",[],0
"[308991, 55642, 402222, 148873]",[],0
"[363883, 279697, 457114, 219328]",[],0
"[322764, 48150, 415995, 141381]",[],0
"[231655, 116175, 324886, 209406]","[(249218, 208706)]",1
"[159984, 288829, 253215, 219328]",[],0
"[321963, 227185, 415194, 219328]",[],0
"[260935, 211839, 354166, 219328]",[],0
"[326585, 315553, 419816, 219328]",[],0
"[130575, 18855, 223806, 112086]","[(148995, 19294), (155423, 20233), (165683, 22519), (145935, 34939), (181333, 62750), (200563, 62770)]",6
"[352566, 9783, 445797, 101474]","[(355045, 9783), (364501, 9783), (367671, 9783), (370147, 9783), (403477, 9783), (443074, 12940), (358657, 15258)]",7
"[103521, 166683, 196752, 219328]",[],0
"[273856, 307100, 367087, 219328]",[],0
"[141527, 182540, 234758, 219328]",[],0
"[42521, 266858, 135752, 219328]",[],0
"[145484, 166873, 238715, 219328]",[],0
"[222064, 209527, 315295, 219328]","[(243245, 219327)]",1
